O*NET-SOC Code,Artistic,Conventional,Enterprising,Investigative,Realistic,Social
15-1241.01,1.33,3.67,5.33,3.0,6.0,1.33
15-1242.00,2.33,7.0,3.67,5.33,3.33,2.33
15-1243.00,2.67,4.0,3.67,5.33,2.67,1.67
15-1243.01,2.0,4.67,3.0,5.67,1.67,1.67
15-1244.00,1.67,4.67,4.0,6.0,5.67,2.0
15-1251.00,3.0,5.67,2.0,7.0,3.33,2.0
15-1253.00,2.0,6.0,1.67,6.33,4.33,1.0
15-1254.00,4.0,5.33,3.33,5.0,4.33,1.0
15-1255.01,6.0,3.33,4.67,3.0,2.0,1.67
15-1299.01,2.0,6.33,4.67,4.33,4.0,1.0
15-1299.02,2.0,4.67,2.0,6.33,5.17,1.17
15-1299.03,2.0,7.0,2.67,3.0,2.0,2.33
15-1299.08,2.67,4.33,1.67,6.33,5.67,1.0
15-1299.09,2.0,3.33,6.67,3.0,1.67,2.0
15-2011.00,1.67,6.0,3.33,4.33,2.0,1.0
15-2021.00,4.0,4.67,1.67,7.0,1.67,1.0
15-2031.00,2.67,5.33,4.67,6.33,3.0,1.67
15-2041.00,2.0,6.33,2.0,6.0,2.33,1.0
15-2041.01,2.0,5.33,1.0,6.67,3.0,1.67
15-2051.01,2.33,4.0,5.33,5.67,1.67,1.67
15-2051.02,1.33,7.0,3.0,5.33,2.67,2.33
15-2099.01,1.67,4.0,1.67,6.33,4.33,1.33
17-1011.00,6.67,2.33,4.0,5.0,4.0,1.67
17-1012.00,6.33,2.33,4.0,5.33,5.0,1.67
17-1021.00,3.33,5.33,2.0,5.33,5.67,1.0
17-1022.00,3.33,5.0,2.0,5.0,6.67,1.33
17-1022.01,1.33,5.0,1.67,5.0,4.33,1.0
17-2011.00,3.67,3.0,2.33,7.0,5.67,1.33
17-2021.00,3.0,3.0,4.33,6.67,6.33,1.33
17-2031.00,2.67,3.67,2.33,7.0,5.67,2.0
17-2041.00,2.0,3.67,3.0,6.67,6.33,1.0
17-2051.00,2.67,4.33,2.67,6.0,6.67,1.33
17-2051.01,2.0,3.67,3.33,6.0,6.67,1.33
17-2051.02,2.33,3.33,4.0,6.33,5.67,1.67
17-2061.00,2.0,4.33,2.33,6.67,6.33,1.0
17-2071.00,2.0,3.67,3.0,6.33,6.0,1.0
17-2072.00,4.0,3.67,2.67,7.0,5.67,2.0
17-2072.01,2.0,3.67,2.33,5.33,6.33,1.0
17-2081.00,3.0,4.33,3.67,7.0,4.67,1.67
17-2111.00,1.33,5.0,3.17,6.17,5.33,2.0
17-2111.02,2.0,4.0,4.67,6.67,5.33,2.33
17-2112.00,2.0,4.67,4.67,7.0,4.33,1.33
17-2112.01,2.33,3.0,3.0,6.0,5.33,2.67
17-2112.02,2.33,4.33,2.67,6.0,5.33,1.33
17-2112.03,2.0,3.67,3.33,6.0,6.67,1.0
17-2121.00,4.0,3.33,2.83,6.83,5.67,1.17
17-2131.00,2.67,3.33,4.33,7.0,6.0,1.33
17-2141.00,2.67,4.0,1.67,6.67,6.33,2.0
17-2141.01,2.0,3.0,3.33,5.67,6.0,1.67
17-2141.02,2.33,3.33,3.67,6.0,7.0,1.33
17-2151.00,1.67,3.67,4.33,6.33,5.67,1.33
17-2161.00,1.67,3.67,2.33,7.0,5.33,1.0
17-2171.00,1.67,5.0,3.33,6.67,5.33,1.0
17-2199.03,3.0,3.33,1.67,7.0,6.0,1.0
17-2199.05,3.67,4.0,1.67,7.0,5.33,1.0
17-2199.06,2.33,4.0,1.67,7.0,6.0,1.0
17-2199.07,4.0,4.0,1.67,7.0,5.33,1.33
17-2199.08,2.67,4.0,1.67,6.67,6.0,1.0
17-2199.09,2.67,3.0,4.67,6.67,5.0,1.33
17-2199.10,2.0,3.33,4.0,4.33,6.0,1.33
17-2199.11,2.0,3.33,3.33,5.67,6.33,1.33
17-3011.00,4.67,5.17,2.17,4.33,5.83,1.33
17-3012.00,3.67,5.33,1.83,4.5,5.67,1.5
17-3013.00,3.33,4.0,2.33,4.0,6.67,1.0
17-3021.00,1.67,5.0,2.33,6.0,6.67,1.33
17-3022.00,2.67,5.33,2.33,5.0,6.0,1.0
17-3023.00,2.0,4.0,2.5,5.75,6.67,1.08
17-3024.00,2.33,5.0,1.33,5.33,7.0,1.33
17-3024.01,2.0,3.0,1.67,4.33,6.67,1.0
17-3025.00,1.67,5.33,2.0,5.67,7.0,1.0
17-3026.00,1.67,5.0,3.33,6.33,5.0,1.33
17-3026.01,1.5,4.33,2.0,4.0,6.0,1.33
17-3027.00,3.33,3.67,1.67,6.0,6.0,1.0
17-3027.01,1.33,3.67,2.67,3.67,6.67,1.33
17-3029.01,1.67,4.33,2.67,6.33,6.67,1.0
17-3029.08,2.33,4.0,1.33,5.33,7.0,1.0
17-3031.00,1.83,6.17,1.83,3.17,5.0,1.0
19-1011.00,2.33,3.0,2.0,7.0,5.33,1.0
19-1012.00,3.0,4.33,2.33,7.0,5.33,1.33
19-1013.00,3.67,3.0,1.67,7.0,5.67,3.0
19-1021.00,5.0,3.33,1.67,7.0,4.67,1.33
19-1022.00,1.33,3.0,2.0,7.0,4.67,1.67
19-1023.00,2.33,3.0,2.67,7.0,5.33,1.67
19-1029.01,3.0,5.0,1.0,7.0,4.33,1.67
19-1029.02,4.67,3.0,1.0,7.0,5.33,1.33
19-1029.03,4.33,3.0,1.33,7.0,4.33,2.0
19-1029.04,1.67,3.33,3.0,7.0,4.0,1.33
19-1031.00,2.0,2.67,5.33,5.33,5.33,2.0
